346 237;368 237;371 255;346 254
351 240;374 238;376 255;353 257
359 232;381 232;383 251;356 251
361 256;362 234;389 234;388 255
369 252;395 251;395 231;369 231
405 251;375 233;403 231;376 252
412 224;381 248;382 228;411 247
387 226;420 248;419 224;387 248
395 228;430 227;395 251;428 253
404 247;441 246;442 219;403 221
412 222;412 246;453 218;453 245
423 247;466 245;466 214;422 218
481 241;432 212;480 208;433 243
448 242;498 241;499 207;446 213
464 207;463 241;521 239;520 203
482 205;549 199;548 239;482 239
503 197;504 236;576 191;578 237
528 231;528 188;613 180;613 230
560 182;656 171;658 226;560 231
713 218;714 155;599 166;597 222
785 213;643 218;645 156;787 138
